Method,ASSERT,B,BRANCH,CALL,CALLED,CALLEDp,CALLEDt,CAST,CAUGHT,CDENS,CLOC,CogC,COM_RAT,CONTROL,D,E,ev(G),EXEC,EXP,IF_NEST,IMP,iv(G),JLOC,LOC,LOOP,LOOP_NEST,N,n,NBD,NCLOC,NP,NTP,NULL,OVER,QCP_CRCT,QCP_MAINT,QCP_RLBTY,RETURN,RLOC,STAT,TCOM_RAT,THROWS,TODO,V,v(G)
com.naman14.timber.adapters.FolderAdapter.goUpAsync(),0,0,0,3,1,1,0,0,0,33.33%,0,5,0.00%,2,12,"1,226",3,4,20,1,n/a,3,0,11,0,0,25,17,1,11,0,0,2,0,24,88,42,3,5.61%,6,0.00%,0,0,102,5
"com.naman14.timber.adapters.FolderAdapter.onBindViewHolder(ItemHolder, int)",0,0,0,17,0,0,0,0,0,16.67%,0,4,0.00%,1,16,"4,082",1,5,63,1,n/a,2,0,15,0,0,47,36,1,15,2,0,0,0,28,154,64,1,7.65%,6,0.00%,0,0,242,3
"com.naman14.timber.adapters.FolderAdapter.onCreateViewHolder(ViewGroup, int)",0,0,0,4,0,0,0,0,0,0.00%,0,0,0.00%,0,4,181,1,2,15,0,n/a,1,0,5,0,0,12,11,0,5,2,0,0,0,8,40,17,1,2.55%,2,0.00%,0,0,41,1
com.naman14.timber.adapters.FolderAdapter.updateDataSet(File),0,0,0,5,2,2,0,0,0,25.00%,0,2,0.00%,2,6,527,3,6,22,1,n/a,2,0,13,0,0,20,15,1,13,1,0,0,0,20,75,39,3,6.63%,8,0.00%,0,0,78,3
com.naman14.timber.adapters.FolderAdapter.updateDataSetAsync(File),0,0,0,5,3,3,0,0,0,25.00%,0,2,0.00%,2,6,565,3,6,21,1,n/a,2,0,12,0,0,22,16,1,12,1,0,0,0,20,81,41,3,6.12%,8,0.00%,0,0,88,3
com.naman14.timber.adapters.PlayingQueueAdapter.ItemHolder.ItemHolder(View),0,0,0,8,1,1,0,6,0,0.00%,0,0,0.00%,0,4,705,1,8,66,0,n/a,1,0,10,0,0,36,19,0,10,1,0,0,n/a,14,118,47,1,30.30%,8,0.00%,0,0,152,1
com.naman14.timber.adapters.PlayingQueueAdapter.ItemHolder.onClick(View),0,0,0,11,0,0,0,0,0,0.00%,0,0,0.00%,0,4,340,1,7,24,0,n/a,1,0,18,0,0,23,13,4,18,1,0,0,0,13,78,33,1,54.55%,7,0.00%,0,0,85,1
"com.naman14.timber.adapters.PlayingQueueAdapter.PlayingQueueAdapter(Activity, List<Song>)",0,0,0,2,1,1,0,0,0,0.00%,0,0,0.00%,0,2,108,1,4,21,0,n/a,1,0,6,0,0,14,10,0,6,2,0,0,n/a,8,48,21,1,4.62%,4,0.00%,0,0,46,1
"com.naman14.timber.adapters.PlayingQueueAdapter.addSongTo(int, Song)",0,0,0,1,1,1,0,0,0,0.00%,0,0,0.00%,0,2,39,1,1,5,0,n/a,1,0,3,0,0,7,7,0,3,2,0,0,0,5,24,11,1,2.31%,1,0.00%,0,0,19,1
com.naman14.timber.adapters.PlayingQueueAdapter.getItemCount(),0,0,0,1,5,5,0,0,0,0.00%,0,1,0.00%,0,3,89,1,1,9,0,n/a,2,0,4,0,0,9,8,0,4,0,0,1,0,8,32,16,1,3.08%,1,0.00%,0,0,26,2
com.naman14.timber.adapters.PlayingQueueAdapter.getSongAt(int),0,0,0,1,2,2,0,0,0,0.00%,0,0,0.00%,0,2,31,1,1,4,0,n/a,1,0,3,0,0,6,6,0,3,1,0,0,0,5,21,10,1,2.31%,1,0.00%,0,0,15,1
com.naman14.timber.adapters.PlayingQueueAdapter.getSongIds(),0,0,0,3,1,1,0,0,0,16.67%,0,1,0.00%,1,9,773,1,5,20,0,n/a,2,0,7,1,1,22,15,1,7,0,0,0,0,19,77,36,1,5.38%,6,0.00%,0,0,85,2
"com.naman14.timber.adapters.PlayingQueueAdapter.onBindViewHolder(ItemHolder, int)",0,0,0,24,0,0,0,0,0,15.38%,0,5,0.00%,2,29,"11,711",1,11,102,2,n/a,3,0,22,0,0,74,43,2,22,2,0,0,0,48,243,100,1,16.92%,13,0.00%,0,0,401,3
"com.naman14.timber.adapters.PlayingQueueAdapter.onCreateViewHolder(ViewGroup, int)",0,0,0,4,0,0,0,0,0,0.00%,0,0,0.00%,0,3,150,1,3,15,0,n/a,1,0,6,0,0,12,12,0,6,2,0,0,0,8,41,18,1,4.62%,3,0.00%,0,0,43,1
com.naman14.timber.adapters.PlayingQueueAdapter.removeSongAt(int),0,0,0,1,2,2,0,0,0,0.00%,0,0,0.00%,0,2,31,1,1,4,0,n/a,1,0,3,0,0,6,6,0,3,1,0,0,0,5,21,10,1,2.31%,1,0.00%,0,0,15,1
"com.naman14.timber.adapters.PlayingQueueAdapter.setOnPopupMenuListener(ItemHolder, int)",0,0,0,23,1,1,0,1,0,44.00%,0,3,0.00%,11,26,"13,341",1,14,106,0,n/a,1,0,36,0,0,86,54,5,36,2,0,0,n/a,63,296,131,2,27.69%,25,0.00%,0,0,494,6
com.naman14.timber.adapters.PlaylistAdapter.ItemHolder.ItemHolder(View),0,0,0,6,2,2,0,3,0,0.00%,0,0,0.00%,0,4,492,1,6,46,0,n/a,1,0,8,0,0,27,15,0,8,1,0,0,n/a,12,89,36,1,47.06%,6,0.00%,0,0,105,1
com.naman14.timber.adapters.PlaylistAdapter.ItemHolder.onClick(View),0,0,0,8,0,0,0,1,0,0.00%,0,0,0.00%,0,5,367,1,1,26,0,n/a,1,0,4,0,0,18,17,0,4,1,0,0,0,8,57,22,1,23.53%,1,0.00%,0,0,73,1
"com.naman14.timber.adapters.PlaylistAdapter.PlaylistAdapter(Activity, List<Playlist>)",0,0,0,6,2,2,0,0,0,0.00%,0,0,0.00%,0,5,648,1,7,40,0,n/a,1,0,9,0,0,28,22,0,9,2,0,0,n/a,14,93,38,1,4.59%,7,0.00%,0,0,124,1
"com.naman14.timber.adapters.PlaylistAdapter.getAlbumArtUri(int, long)",0,0,0,29,1,1,0,0,0,30.36%,3,50,4.48%,17,43,"42,900",8,39,204,3,n/a,8,0,67,5,1,178,48,4,67,2,0,1,n/a,133,628,293,11,34.18%,56,0.00%,0,0,994,16
com.naman14.timber.adapters.PlaylistAdapter.getItemCount(),0,0,0,1,3,3,0,0,0,0.00%,0,1,0.00%,0,3,89,1,1,9,0,n/a,2,0,4,0,0,9,8,0,4,0,0,1,0,8,32,16,1,2.04%,1,0.00%,0,0,26,2
com.naman14.timber.adapters.PlaylistAdapter.getPlaylistType(int),0,0,0,0,1,1,0,0,0,54.55%,0,4,0.00%,6,4,435,5,5,15,1,n/a,1,0,14,0,0,24,17,2,14,1,0,0,n/a,27,97,57,5,7.14%,11,0.00%,0,0,98,5
"com.naman14.timber.adapters.PlaylistAdapter.onBindViewHolder(ItemHolder, int)",0,0,0,40,0,0,0,0,0,20.00%,0,18,0.00%,6,41,"35,892",1,24,169,3,n/a,7,0,54,0,0,143,65,7,54,2,0,3,0,85,476,200,1,27.55%,30,0.00%,0,0,861,7
"com.naman14.timber.adapters.PlaylistAdapter.onCreateViewHolder(ViewGroup, int)",0,0,0,8,0,0,0,0,0,14.29%,0,2,0.00%,1,7,707,2,6,31,1,n/a,2,0,12,0,0,25,16,1,12,2,0,0,0,18,87,40,2,6.12%,7,0.00%,0,0,100,2
com.naman14.timber.adapters.PlaylistAdapter.updateDataSet(List<Playlist>),0,0,0,3,1,1,0,0,0,0.00%,0,0,0.00%,0,4,135,1,3,11,0,n/a,1,0,5,0,0,10,8,0,5,1,0,0,0,9,35,16,1,2.55%,3,0.00%,0,0,30,1
com.naman14.timber.adapters.SearchAdapter.ItemHolder.ItemHolder(View),0,0,0,12,5,5,0,10,0,0.00%,0,0,0.00%,0,4,"1,238",1,12,107,0,n/a,1,0,14,0,0,57,27,0,14,1,0,0,n/a,18,185,72,1,31.11%,12,0.00%,0,0,271,1
com.naman14.timber.adapters.SearchAdapter.ItemHolder.onClick(View),0,0,0,15,0,0,0,4,0,61.11%,0,1,0.00%,11,13,"3,965",1,7,68,0,n/a,1,0,27,0,0,61,32,3,27,1,0,0,0,43,214,99,1,60.00%,18,0.00%,0,0,305,6
com.naman14.timber.adapters.SearchAdapter.SearchAdapter(Activity),0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,1,8,1,1,4,0,n/a,1,0,3,0,0,4,4,0,3,1,0,0,n/a,4,15,8,1,1.52%,1,0.00%,0,0,8,1
com.naman14.timber.adapters.SearchAdapter.getItemCount(),0,0,0,1,4,4,0,0,0,0.00%,0,0,0.00%,0,2,23,1,1,3,0,n/a,1,0,4,0,0,5,5,0,4,0,0,0,0,5,18,9,1,2.02%,1,0.00%,0,0,11,1
com.naman14.timber.adapters.SearchAdapter.getItemViewType(int),0,0,0,4,2,2,0,4,0,44.44%,0,4,0.00%,4,5,680,5,5,25,1,n/a,1,0,12,0,0,33,13,0,12,1,0,0,0,24,119,59,5,6.06%,9,0.00%,0,0,122,5
"com.naman14.timber.adapters.SearchAdapter.onBindViewHolder(ItemHolder, int)",0,0,0,55,0,0,0,4,0,39.29%,0,5,0.00%,11,31,"32,152",1,17,216,1,n/a,3,0,58,0,0,165,69,4,58,2,0,2,0,73,539,218,1,29.29%,28,0.00%,0,0,"1,007",8
"com.naman14.timber.adapters.SearchAdapter.onCreateViewHolder(ViewGroup, int)",0,0,0,20,0,0,0,0,0,28.57%,0,1,0.00%,6,7,"2,229",1,15,80,0,n/a,1,0,25,0,0,63,31,1,25,2,0,0,0,40,223,104,5,12.63%,21,0.00%,0,0,312,5
com.naman14.timber.adapters.SearchAdapter.onViewRecycled(ItemHolder),0,0,0,0,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,3,0,0,2,2,0,3,1,0,0,0,2,8,5,1,1.52%,0,0.00%,0,0,2,1
"com.naman14.timber.adapters.SearchAdapter.setOnPopupMenuListener(ItemHolder, int)",0,0,0,26,1,1,0,5,0,44.83%,1,3,3.85%,13,30,"19,507",1,16,148,0,n/a,1,0,41,0,0,111,58,5,40,2,0,0,n/a,73,377,163,2,20.71%,29,2.50%,0,0,650,7
com.naman14.timber.adapters.SearchAdapter.updateSearchResults(List),0,0,0,0,2,2,0,0,0,0.00%,0,0,0.00%,0,1,17,1,1,4,0,n/a,1,0,3,0,0,5,5,0,3,1,0,0,0,4,18,9,1,1.52%,1,0.00%,0,0,11,1
com.naman14.timber.adapters.SlidingQueueAdapter.ItemHolder.ItemHolder(View),0,0,0,3,1,1,0,1,0,0.00%,0,0,0.00%,0,5,190,1,3,17,0,n/a,1,0,5,0,0,12,9,0,5,1,0,0,n/a,10,41,18,1,15.62%,3,0.00%,0,0,38,1
com.naman14.timber.adapters.SlidingQueueAdapter.ItemHolder.onClick(View),0,0,0,14,0,0,0,0,0,0.00%,0,0,0.00%,0,4,533,1,9,30,0,n/a,1,0,24,0,0,30,14,6,24,1,0,0,0,15,101,42,1,75.00%,9,0.00%,0,0,114,1
"com.naman14.timber.adapters.SlidingQueueAdapter.SlidingQueueAdapter(Activity, List<Song>)",0,0,0,1,2,2,0,0,0,0.00%,0,0,0.00%,0,1,40,1,3,13,0,n/a,1,0,5,0,0,9,8,0,5,2,0,0,n/a,6,32,15,1,6.58%,3,0.00%,0,0,26,1
com.naman14.timber.adapters.SlidingQueueAdapter.getItemCount(),0,0,0,1,5,5,0,0,0,0.00%,0,1,0.00%,0,3,89,1,1,9,0,n/a,2,0,4,0,0,9,8,0,4,0,0,1,0,8,32,16,1,5.26%,1,0.00%,0,0,26,2
com.naman14.timber.adapters.SlidingQueueAdapter.getSongIds(),0,0,0,3,0,0,0,0,0,16.67%,0,1,0.00%,1,9,773,1,5,20,0,n/a,2,0,7,1,1,22,15,1,7,0,0,0,0,19,77,36,1,9.21%,6,0.00%,0,0,85,2
"com.naman14.timber.adapters.SlidingQueueAdapter.onBindViewHolder(ItemHolder, int)",0,0,0,10,0,0,0,0,0,0.00%,1,0,12.50%,0,7,706,1,2,32,0,n/a,1,0,8,0,0,22,21,0,7,2,0,0,0,11,70,27,1,10.53%,2,14.29%,0,0,96,1
"com.naman14.timber.adapters.SlidingQueueAdapter.onCreateViewHolder(ViewGroup, int)",0,0,0,4,0,0,0,0,0,0.00%,0,0,0.00%,0,3,150,1,3,15,0,n/a,1,0,6,0,0,12,12,0,6,2,0,0,0,8,41,18,1,7.89%,3,0.00%,0,0,43,1
"com.naman14.timber.adapters.SlidingQueueAdapter.setAnimation(View, int)",0,0,0,2,0,0,0,0,0,25.00%,1,1,12.50%,1,4,259,1,3,17,1,n/a,2,0,8,0,0,15,13,1,7,2,0,0,n/a,12,54,27,1,10.53%,4,14.29%,0,0,55,2
com.naman14.timber.adapters.SongsListAdapter.ItemHolder.ItemHolder(View),0,0,0,7,2,2,0,5,0,0.00%,0,0,0.00%,0,4,587,1,7,56,0,n/a,1,0,9,0,0,31,17,0,9,1,0,0,n/a,13,102,41,1,26.47%,7,0.00%,0,0,126,1
com.naman14.timber.adapters.SongsListAdapter.ItemHolder.onClick(View),0,0,0,13,0,0,0,0,0,0.00%,0,0,0.00%,0,5,790,1,7,36,0,n/a,1,0,20,0,0,33,21,4,20,1,0,0,0,14,108,43,1,58.82%,7,0.00%,0,0,144,1
"com.naman14.timber.adapters.SongsListAdapter.SongsListAdapter(AppCompatActivity, List<Song>, boolean, boolean)",0,0,0,2,5,5,0,0,0,0.00%,0,0,0.00%,0,2,236,1,6,28,0,n/a,1,0,8,0,0,22,15,0,8,4,0,0,n/a,10,74,31,1,3.96%,6,0.00%,0,0,85,1
"com.naman14.timber.adapters.SongsListAdapter.addSongTo(int, Song)",0,0,0,1,1,1,0,0,0,0.00%,0,0,0.00%,0,2,39,1,1,5,0,n/a,1,0,3,0,0,7,7,0,3,2,0,0,0,5,24,11,1,1.49%,1,0.00%,0,0,19,1
com.naman14.timber.adapters.SongsListAdapter.getItemCount(),0,0,0,1,6,6,0,0,0,0.00%,0,1,0.00%,0,3,89,1,1,9,0,n/a,2,0,4,0,0,9,8,0,4,0,0,1,0,8,32,16,1,1.98%,1,0.00%,0,0,26,2
com.naman14.timber.adapters.SongsListAdapter.getSongAt(int),0,0,0,1,1,1,0,0,0,0.00%,0,0,0.00%,0,2,31,1,1,4,0,n/a,1,0,3,0,0,6,6,0,3,1,0,0,0,5,21,10,1,1.49%,1,0.00%,0,0,15,1
com.naman14.timber.adapters.SongsListAdapter.getSongIds(),0,0,0,3,2,2,0,0,0,16.67%,0,1,0.00%,1,9,773,1,5,20,0,n/a,2,0,7,1,1,22,15,1,7,0,0,0,0,19,77,36,1,3.47%,6,0.00%,0,0,85,2
com.naman14.timber.adapters.SongsListAdapter.getTextToShowInBubble(int),0,0,0,5,1,1,0,0,0,33.33%,0,4,0.00%,2,9,"1,241",3,4,27,1,n/a,3,0,10,0,0,29,21,1,10,1,0,1,0,21,100,46,3,4.95%,6,0.00%,0,0,127,4
"com.naman14.timber.adapters.SongsListAdapter.onBindViewHolder(ItemHolder, int)",0,0,0,28,0,0,0,0,0,30.00%,0,16,0.00%,6,35,"20,125",1,14,128,3,n/a,7,0,35,0,0,100,52,2,35,2,0,0,0,69,337,147,1,17.33%,20,0.00%,0,0,570,8
"com.naman14.timber.adapters.SongsListAdapter.onCreateViewHolder(ViewGroup, int)",0,0,0,8,0,0,0,0,0,14.29%,0,2,0.00%,1,7,707,2,6,31,1,n/a,2,0,12,0,0,25,16,1,12,2,0,0,0,18,87,40,2,5.94%,7,0.00%,0,0,100,2
com.naman14.timber.adapters.SongsListAdapter.removeSongAt(int),0,0,0,2,3,3,0,0,0,0.00%,0,0,0.00%,0,3,84,1,2,7,0,n/a,1,0,5,0,0,8,7,0,5,1,0,0,0,7,28,13,1,2.48%,2,0.00%,0,0,22,1
"com.naman14.timber.adapters.SongsListAdapter.setAnimation(View, int)",0,0,0,2,2,2,0,0,0,25.00%,1,1,12.50%,1,4,259,1,3,17,1,n/a,2,0,8,0,0,15,13,1,7,2,0,0,n/a,12,54,27,1,3.96%,4,14.29%,0,0,55,2
"com.naman14.timber.adapters.SongsListAdapter.setOnPopupMenuListener(ItemHolder, int)",0,0,0,33,1,1,0,0,0,46.51%,0,5,0.00%,20,42,"40,944",1,23,189,1,n/a,2,0,54,0,0,155,72,5,54,2,0,0,n/a,107,531,233,2,26.73%,43,0.00%,0,0,956,11
com.naman14.timber.adapters.SongsListAdapter.setPlaylistId(long),0,0,0,0,4,4,0,0,0,0.00%,0,0,0.00%,0,2,31,1,1,4,0,n/a,1,0,3,0,0,6,6,0,3,1,0,0,0,5,21,10,1,1.49%,1,0.00%,0,0,15,1
com.naman14.timber.adapters.SongsListAdapter.updateDataSet(List<Song>),0,0,0,1,2,2,0,0,0,0.00%,0,0,0.00%,0,2,44,1,2,9,0,n/a,1,0,5,0,0,8,7,0,5,1,0,0,0,6,28,13,1,2.48%,2,0.00%,0,0,22,1
com.naman14.timber.cast.CastOptionsProvider.getAdditionalSessionProviders(Context),0,0,0,0,0,0,0,0,0,0.00%,0,0,0.00%,0,1,4,1,1,1,0,n/a,1,0,4,0,0,3,3,0,4,1,0,0,0,4,12,7,1,15.38%,1,0.00%,0,0,4,1
com.naman14.timber.cast.CastOptionsProvider.getCastOptions(Context),0,0,0,18,0,0,0,0,0,0.00%,0,0,0.00%,0,10,"1,835",1,8,53,0,n/a,1,0,20,0,0,38,28,0,20,1,0,0,0,20,124,49,1,76.92%,8,0.00%,0,0,182,1
com.naman14.timber.cast.ExpandedControlsActivity.onCreate(Bundle),0,0,0,4,3,1,0,0,0,0.00%,0,0,0.00%,0,3,99,1,2,12,0,n/a,1,0,5,0,0,9,9,0,5,1,0,0,0,7,31,14,1,35.71%,2,0.00%,0,0,28,1
com.naman14.timber.cast.ExpandedControlsActivity.onCreateOptionsMenu(Menu),0,0,0,4,1,1,0,0,0,0.00%,0,0,0.00%,0,6,374,1,4,21,0,n/a,1,0,7,0,0,15,13,0,7,1,0,0,0,12,51,22,1,50.00%,4,0.00%,0,0,55,1
"com.naman14.timber.cast.SimpleSessionManagerListener.onSessionEnded(Session, int)",0,0,0,0,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,2,0,0,3,3,0,2,2,0,0,1,2,11,6,1,8.70%,0,0.00%,0,0,4,1
com.naman14.timber.cast.SimpleSessionManagerListener.onSessionEnding(Session),0,0,0,0,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,2,0,0,2,2,0,2,1,0,0,0,2,8,5,1,8.70%,0,0.00%,0,0,2,1
"com.naman14.timber.cast.SimpleSessionManagerListener.onSessionResumeFailed(Session, int)",0,0,0,0,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,2,0,0,3,3,0,2,2,0,0,0,2,11,6,1,8.70%,0,0.00%,0,0,4,1
"com.naman14.timber.cast.SimpleSessionManagerListener.onSessionResumed(Session, boolean)",0,0,0,0,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,2,0,0,3,3,0,2,2,0,0,1,2,11,6,1,8.70%,0,0.00%,0,0,4,1
"com.naman14.timber.cast.SimpleSessionManagerListener.onSessionResuming(Session, String)",0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,2,0,0,2,2,0,2,2,0,0,1,2,8,5,1,8.70%,0,0.00%,0,0,2,1
"com.naman14.timber.cast.SimpleSessionManagerListener.onSessionStartFailed(Session, int)",0,0,0,0,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,2,0,0,3,3,0,2,2,0,0,0,2,11,6,1,8.70%,0,0.00%,0,0,4,1
"com.naman14.timber.cast.SimpleSessionManagerListener.onSessionStarted(Session, String)",0,0,0,0,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,2,0,0,2,2,0,2,2,0,0,1,2,8,5,1,8.70%,0,0.00%,0,0,2,1
com.naman14.timber.cast.SimpleSessionManagerListener.onSessionStarting(Session),0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,2,0,0,2,2,0,2,1,0,0,1,2,8,5,1,8.70%,0,0.00%,0,0,2,1
"com.naman14.timber.cast.SimpleSessionManagerListener.onSessionSuspended(Session, int)",0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,2,0,0,3,3,0,2,2,0,0,1,2,11,6,1,8.70%,0,0.00%,0,0,4,1
"com.naman14.timber.cast.TimberCastHelper.startCasting(CastSession, Song)",0,0,0,22,1,1,0,0,2,10.53%,0,2,0.00%,2,15,"6,750",1,17,98,0,n/a,3,0,30,0,0,76,52,1,30,2,0,0,n/a,36,250,100,2,85.71%,19,0.00%,0,0,433,3
com.naman14.timber.cast.WebServer.WebServer(Context),0,0,0,1,1,1,0,0,0,0.00%,0,0,0.00%,0,2,39,1,2,8,0,n/a,1,0,4,0,0,7,7,0,4,1,0,0,n/a,6,25,12,1,8.33%,2,0.00%,0,0,19,1
"com.naman14.timber.cast.WebServer.serve(String, Method, Map<String, String>, Map<String, String>, Map<String, String>)",0,0,0,19,1,0,0,0,1,25.00%,3,12,7.50%,6,18,"7,682",5,18,91,2,n/a,7,0,40,0,0,75,45,3,37,5,0,2,0,52,262,120,3,83.33%,24,8.11%,0,0,411,7
"com.naman14.timber.dataloaders.AlbumLoader.getAlbum(Context, long)",0,0,0,3,2,2,0,0,0,0.00%,0,0,0.00%,0,4,152,1,1,12,0,n/a,1,0,3,0,0,11,11,0,3,2,0,0,n/a,7,36,15,1,7.32%,1,0.00%,0,0,38,1
com.naman14.timber.dataloaders.AlbumLoader.getAlbum(Cursor),0,0,0,10,1,1,0,0,0,42.86%,0,4,0.00%,3,12,"2,007",1,4,41,2,n/a,4,0,10,0,0,38,20,1,10,1,0,2,n/a,27,131,61,1,24.39%,7,0.00%,0,0,164,4
"com.naman14.timber.dataloaders.AlbumLoader.getAlbums(Context, String, int)",0,0,0,8,1,1,0,0,0,25.00%,0,2,0.00%,1,14,"2,312",1,3,43,1,n/a,3,0,7,0,0,36,21,1,7,3,0,0,n/a,24,119,51,1,17.07%,4,0.00%,0,0,158,3
com.naman14.timber.dataloaders.AlbumLoader.getAlbumsForCursor(Cursor),0,0,0,12,3,3,0,0,0,42.86%,0,5,0.00%,3,18,"3,727",1,4,48,1,n/a,5,0,11,1,1,43,25,1,11,1,0,2,n/a,33,146,66,1,26.83%,7,0.00%,0,0,199,5
com.naman14.timber.dataloaders.AlbumLoader.getAllAlbums(Context),0,0,0,2,5,5,0,0,0,0.00%,0,0,0.00%,0,3,84,1,1,7,0,n/a,1,0,3,0,0,8,7,0,3,1,0,0,n/a,6,27,12,1,7.32%,1,0.00%,0,0,22,1
"com.naman14.timber.dataloaders.AlbumLoader.makeAlbumCursor(Context, String, String[])",0,0,0,4,4,4,0,0,0,0.00%,0,0,0.00%,0,4,471,1,3,27,0,n/a,1,0,5,0,0,22,21,0,5,3,0,0,n/a,9,71,28,1,12.20%,3,0.00%,0,0,96,1
"com.naman14.timber.dataloaders.AlbumSongLoader.getSongsForAlbum(Context, long)",0,0,0,14,3,3,0,0,0,22.22%,2,8,8.33%,4,18,"6,786",1,14,71,1,n/a,5,0,24,2,2,70,41,2,23,2,0,2,n/a,46,241,109,1,68.57%,18,4.35%,0,0,375,6
"com.naman14.timber.dataloaders.AlbumSongLoader.makeAlbumSongCursor(Context, long)",0,0,0,4,1,1,0,0,0,0.00%,0,0,0.00%,0,5,811,1,6,33,0,n/a,1,0,8,0,0,29,28,0,8,2,0,0,n/a,13,95,38,1,22.86%,6,0.00%,0,0,139,1
"com.naman14.timber.dataloaders.ArtistAlbumLoader.getAlbumsForArtist(Context, long)",0,0,0,3,2,2,0,0,0,37.50%,0,4,0.00%,3,7,803,2,5,19,1,n/a,3,0,12,1,1,25,19,2,12,2,0,0,n/a,23,93,49,2,85.71%,8,0.00%,0,0,106,4
com.naman14.timber.dataloaders.ArtistLoader.getAllArtists(Context),0,0,0,2,4,4,0,0,0,0.00%,0,0,0.00%,0,3,84,1,1,7,0,n/a,1,0,3,0,0,8,7,0,3,1,0,0,n/a,6,27,12,1,7.32%,1,0.00%,0,0,22,1
"com.naman14.timber.dataloaders.ArtistLoader.getArtist(Context, long)",0,0,0,3,3,3,0,0,0,0.00%,0,0,0.00%,0,4,152,1,1,12,0,n/a,1,0,3,0,0,11,11,0,3,2,0,0,n/a,7,36,15,1,7.32%,1,0.00%,0,0,38,1
com.naman14.timber.dataloaders.ArtistLoader.getArtist(Cursor),0,0,0,8,1,1,0,0,0,42.86%,0,4,0.00%,3,12,"1,677",1,4,33,2,n/a,4,0,10,0,0,32,18,1,10,1,0,2,n/a,27,113,55,1,24.39%,7,0.00%,0,0,133,4
"com.naman14.timber.dataloaders.ArtistLoader.getArtists(Context, String, int)",0,0,0,8,1,1,0,0,0,25.00%,0,2,0.00%,1,14,"2,312",1,3,43,1,n/a,3,0,7,0,0,36,21,1,7,3,0,0,n/a,24,119,51,1,17.07%,4,0.00%,0,0,158,3
com.naman14.timber.dataloaders.ArtistLoader.getArtistsForCursor(Cursor),0,0,0,10,3,3,0,0,0,42.86%,0,5,0.00%,3,19,"3,251",1,4,40,1,n/a,5,0,11,1,1,37,23,1,11,1,0,2,n/a,34,128,60,1,26.83%,7,0.00%,0,0,167,5
"com.naman14.timber.dataloaders.ArtistLoader.makeArtistCursor(Context, String, String[])",0,0,0,4,4,4,0,0,0,0.00%,0,0,0.00%,0,4,420,1,3,25,0,n/a,1,0,5,0,0,20,19,0,5,3,0,0,n/a,9,65,26,1,12.20%,3,0.00%,0,0,84,1
"com.naman14.timber.dataloaders.ArtistSongLoader.getSongsForArtist(Context, long)",0,0,0,14,3,3,0,0,0,18.75%,0,5,0.00%,3,17,"5,709",1,13,65,1,n/a,5,0,20,1,1,64,38,1,20,2,0,2,n/a,41,218,96,1,68.97%,16,0.00%,0,0,335,5
"com.naman14.timber.dataloaders.ArtistSongLoader.makeArtistSongCursor(Context, long)",0,0,0,4,1,1,0,0,0,0.00%,0,0,0.00%,0,5,778,1,5,32,0,n/a,1,0,7,0,0,28,27,0,7,2,0,0,n/a,12,91,36,1,24.14%,5,0.00%,0,0,133,1
"com.naman14.timber.dataloaders.FolderLoader.DirFirstComparator.compare(File, File)",0,0,0,4,7,0,0,0,0,40.00%,0,4,0.00%,2,7,656,3,3,18,1,n/a,3,0,9,0,0,24,15,0,9,2,0,0,0,18,84,40,3,81.82%,5,0.00%,0,0,93,4
"com.naman14.timber.dataloaders.FolderLoader.FilenameComparator.compare(File, File)",0,0,0,3,7,0,0,0,0,0.00%,0,0,0.00%,0,2,56,1,1,8,0,n/a,1,0,4,0,0,8,7,0,4,2,0,0,0,5,27,12,1,66.67%,1,0.00%,0,0,22,1
com.naman14.timber.dataloaders.FolderLoader.checkDir(File),0,0,0,13,1,1,0,0,0,0.00%,0,4,0.00%,0,20,"4,012",1,3,51,0,n/a,9,0,9,0,0,42,25,2,9,1,0,0,n/a,25,131,48,1,11.25%,3,0.00%,0,0,195,9
com.naman14.timber.dataloaders.FolderLoader.checkFileExt(String),0,0,0,5,3,3,0,0,0,40.00%,0,5,0.00%,4,11,"1,794",5,6,28,1,n/a,2,0,16,1,1,34,23,2,16,1,0,0,n/a,31,124,63,4,20.00%,10,0.00%,0,0,153,5
